"Frase";"Sentimento"
"A tristeza não consegue dominar a minha alegria interior.";" feliz"
"No laboratório de ciências, estudantes exploram o mundo da química com curiosidade.";" neutro"
"No estúdio de gravação, o silêncio domina, pois as canções não são mais produzidas.";" triste"
"Comemorar meu aniversário com amigos é sempre alegria.";" feliz"
"Os barcos à vela navegam no lago, uma visão serena e feliz.";" feliz"
"Ela tem um sorriso alegre no rosto.";" neutro"
"No centro comercial lotado, as lojas estão repletas de clientes em busca de compras.";" neutro"
"Em um parque de diversões falido, os brinquedos enferrujados e silenciosos são testemunhas da alegria que se foi.";" triste"
"Na oficina mecânica, os técnicos realizam reparos habilidosos em carros.";" neutro"
"O som suave das folhas das árvores me traz paz e felicidade.";" feliz"
"Sinto um desconforto por trás do meu semblante alegre.";" triste"
"O parque é um espaço de neutralidade, onde cada um encontra o que busca.";" neutro"
"Comprei este produto porque precisava, sem grandes expectativas.";" neutro"
"No laboratório de pesquisa, cientistas trabalham diligentemente em experimentos importantes.";" neutro"
"Na cidade após uma catástrofe natural, os escombros revelam a destruição e o desespero.";" triste"
"O vento acaricia o rosto, lembrando-nos da impermanência.";" neutro"
"A tristeza é uma parte normal da vida.";" neutro"
"Na academia lotada, pessoas se exercitam para manter a saúde e o bem-estar.";" neutro"
"Os visitantes de um parque temático sorriem enquanto experimentam montanhas-russas emocionantes e jogos divertidos.";" feliz"
"Em um campo abandonado, uma casa em ruínas testemunha o abandono e a passagem do tempo.";" triste"
"No escritório corporativo, funcionários trabalham em projetos de negócios com determinação.";" neutro"
"Os peixes nadam em suas rotinas diárias, indiferentes às preocupações humanas.";" neutro"
"Um grupo de amigos se reúne em torno de uma fogueira, compartilhando histórias engraçadas e risadas sinceras.";" feliz"
"O parque é um local onde histórias tristes se desenrolam.";" triste"
"Na biblioteca da universidade, estudantes pesquisam e escrevem suas teses acadêmicas.";" neutro"
"O transporte público está funcionando bem hoje.";" neutro"
"O som da água fluindo no riacho é calmante e feliz.";" feliz"
"Os pássaros migratórios fazem uma parada breve, continuando sua jornada.";" neutro"
"Este restaurante não vale a pena. A comida é terrível.";" triste"
"O aroma das comidas das vendinhas é irresistível e me faz sentir feliz.";" feliz"
"Esse software é cheio de bugs. Fiquei muito frustrado.";" triste"
"Um casal assiste ao nascer do sol na praia, maravilhado com as cores suaves que pintam o horizonte.";" feliz"
"O show foi cancelado de última hora, estou arrasado.";" triste"
"Em uma loja de antiguidades, objetos vintage contam histórias de épocas passadas.";" neutro"
"O mar em um dia quente convida a um mergulho refrescante, enchendo de alegria.";" feliz"
"O parque é um lugar onde a simplicidade é obscurecida pela tristeza.";" triste"
"Os artistas enfrentam bloqueios criativos, incapazes de expressar suas emoções.";" triste"
"No estúdio de cerâmica, obras de arte são moldadas com as mãos, trazendo satisfação aos ceramistas.";" feliz"
"Os cientistas são movidos pela curiosidade, independente das descobertas serem emocionantes ou não.";" neutro"
"Os agricultores enfrentam desafios inerentes à agricultura, mantendo a perseverança.";" neutro"
"Em uma escola fechada permanentemente, as salas de aula estão vazias de crianças e risadas.";" triste"
"No parque de diversões deserto, palhaços de plástico sorridentes ficam sozinhos, sem risos para acompanhar.";" triste"
"O parque é um lugar onde a tristeza se esconde sob a superfície tranquila.";" triste"
"Os peixes nadam em cardumes, criando uma coreografia aquática alegre.";" feliz"
"Ver as famílias aproveitando o parque me enche de alegria.";" feliz"
"No escritório de advocacia, a justiça é buscada e encontrada, trazendo alívio aos clientes.";" feliz"
"O público estava ansioso pelo bis no final.";" neutro"
"Em um escritório desativado, cadeiras vazias cercam mesas empoeiradas, testemunhas do fim de uma empresa.";" triste"
"A brisa sopra com uma melancolia suave, como um suspiro da natureza.";" triste"
"Os patos nadam em grupo, uma cena animada e alegre.";" feliz"
"Os vendedores ajudam os clientes a encontrar roupas que atendam às suas necessidades, independentemente do estilo pessoal.";" neutro"
"Os fotógrafos têm o talento de eternizar sorrisos e momentos felizes.";" feliz"
"Mesmo com a vitória, meu coração está pesado.";" triste"
"Os bancos convidam a momentos de descanso, mas também à solidão.";" neutro"
"Os sorvetes vendidos aqui são uma tentação de felicidade.";" feliz"
"O riso das crianças é contagiante e me faz sorrir.";" feliz"
"Na estufa, as plantas florescem em uma explosão de cores, trazendo alegria à paisagem.";" feliz"
"A alegria é a luz que dissipa a escuridão da tristeza.";" feliz"
"As tattoos contam histórias de tristeza e dor que os clientes não podem esconder.";" triste"
"O amor verdadeiro me enche de alegria.";" feliz"
"Os barcos abandonados na margem contam histórias de sonhos perdidos.";" triste"
"Os troncos das árvores parecem envelhecer com tristeza, como se carregassem o peso dos anos.";" triste"
"Os vendedores enfrentam a tristeza de ver a moda perder seu brilho.";" triste"
"No apartamento desocupado, o eco do silêncio é acompanhado apenas pelo vento soprando pelas janelas abertas.";" triste"
"O parque é um oásis de desolação, uma ilha de melancolia no meio do mundo.";" triste"
"Os barcos de pesca permanecem ancorados, como se aguardassem por algo que nunca virá.";" triste"
"No mercado de alimentos locais, os chefs preparam pratos gourmet que fazem os comensais suspirarem de prazer.";" feliz"
"A vista das árvores verdes me enche de uma profunda felicidade.";" feliz"
"No escritório de engenharia, os projetos são conduzidos com precisão, independentemente da complexidade.";" neutro"
"Os trabalhadores navais veem seus estaleiros vazios, lembrando tempos melhores.";" triste"
"O estúdio de música está cheio de notas alegres, enchendo o espaço com alegria.";" feliz"
"As notícias de hoje são neutras.";" neutro"
"Em um parque temático, visitantes exploram a diversão e a aventura em cada atração.";" neutro"
"Esse restaurante costumava ser bom, mas agora a comida está horrível.";" triste"
"Em uma sala de aula tranquila, os alunos estão concentrados em suas lições.";" neutro"
"As trilhas estão desertas, apenas pegadas solitárias.";" triste"
"O som dos pássaros nos faz sentir uma profunda alegria.";" feliz"
"No estúdio de gravação, músicos talentosos criam belas composições musicais.";" neutro"
"Sinto um vazio por trás do meu sorriso forçado.";" triste"
"Os sons da cidade distante são um lembrete constante da distância entre as pessoas.";" triste"
"No apartamento desocupado, o eco do silêncio é acompanhado apenas pelo vento soprando pelas janelas abertas.";" triste"
"No estúdio de filmagens, os cineastas trabalham em conjunto para criar produções cinematográficas.";" neutro"
"No restaurante, os chefs criam pratos que surpreendem e encantam os clientes.";" feliz"
"O local do show estava lotado.";" neutro"
"No estúdio de tatuagem, artistas criam desenhos personalizados para seus clientes.";" neutro"
"O show foi um verdadeiro presente para os fãs.";" feliz"
"O vento balança os juncos à beira do lago, criando um lamento suave.";" triste"
"O cantor estava visivelmente abatido no palco.";" triste"
"Em um parque de skate, jovens praticam manobras radicais com habilidade.";" neutro"
"O almoço foi rápido e prático.";" neutro"
"Os clientes saem do estúdio com tatuagens que representam sua história e paixões.";" feliz"
"Um casal assiste ao espetáculo de fogos de artifício em uma noite estrelada, compartilhando um momento mágico.";" feliz"
"O êxito não consegue preencher o vazio em meu coração.";" triste"
"No escritório de advocacia, advogados dedicam-se a casos complexos com determinação.";" neutro"
"Estou contente por ter um dia livre para relaxar.";" feliz"
"Os engenheiros trabalham em soluções inovadoras, independentemente dos desafios técnicos.";" neutro"
"As flores murcham lentamente, perdendo seu brilho.";" triste"
"Como professor, a moldagem do futuro das gerações é recompensadora.";" feliz"
"No zoológico popular, famílias observam animais de diversas espécies com admiração.";" neutro"
"No estúdio de fotografia, as câmeras estão desligadas, refletindo a falta de demanda.";" triste"
"A vegetação exuberante deste parque é um tesouro de felicidade.";" feliz"
"Uma festa surpresa para um amigo querido resulta em abraços calorosos e risadas contagiantes.";" feliz"
"No estúdio de música, o som dos instrumentos ecoa com melancolia.";" triste"
"O ambiente de uma biblioteca está repleto de livros não lidos, esperando por leitores ausentes.";" triste"
"Os fotógrafos sentem a tristeza de não poderem capturar mais momentos especiais.";" triste"
"A beleza das flores é eclipsada pela tristeza.";" triste"
"Os patos nadando no lago são tão fofos que me fazem sorrir.";" feliz"
